"Scenario","Complex","Temp_Anomaly","Available_Biomass","Harvest_Biomass","Energy_Caught","Energy_Utilization","Status"
"1. Baseline","Parrotfishes",0,43933.2485457939,20050.1921956373,22055.2114152011,0.456378548350185,"Safe"
"1. Baseline","Surgeonfishes",0,42641.0941768,12816.7564179976,15380.1077015971,0.300572878473904,"Safe"
"1. Baseline","Spiny Lobster",0,22110.196980563,18559.3046917431,16703.3742225688,0.839400241800584,"Caution"
"1. Baseline","Queen Conch",0,67515.0657799334,50737.8416282585,40590.2733026068,0.751503994584549,"Caution"
"1. Baseline","Triggerfishes",0,13848.2029659893,7032.80453807367,4922.96317665157,0.507849614520092,"Safe"
"1. Baseline","Grunts",0,23667.2234823455,9661.02195582465,7728.81756465972,0.408202591361478,"Safe"
"1. Baseline","Snappers",0,8865.82960789091,6621.27314006968,2317.44559902439,0.746830633218633,"Caution"
"1. Baseline","Groupers",0,8969.45022245572,6416.18730612185,1604.04682653046,0.715337857615668,"Caution"
"1. Baseline","Tunas",0,21738.9354131034,12476.1266320766,6238.06331603831,0.573906973593403,"Safe"
"1. Baseline","Mackerels",0,31702.6141441091,15463.62979142,9278.17787485202,0.487771441217046,"Safe"
"1. Baseline","Dolphinfishes",0,8491.77164574352,3806.88820726812,3045.5105658145,0.448303177014459,"Safe"
"2. Coral Bleaching","Parrotfishes",1.5,34048.2676229903,15995.8983806408,17595.4882187049,0.469800653523998,"Safe"
"2. Coral Bleaching","Surgeonfishes",1.5,36244.93005028,11393.4775184352,13672.1730221222,0.314346792851575,"Safe"
"2. Coral Bleaching","Spiny Lobster",1.5,15477.1378863941,12205.7965973925,10985.2169376532,0.78863396365568,"Caution"
"2. Coral Bleaching","Queen Conch",1.5,52324.1759794484,40710.8132098264,32568.6505678611,0.778049772361759,"Caution"
"2. Coral Bleaching","Triggerfishes",1.5,12809.5877435401,6443.43575211175,4510.40502647823,0.503016637312248,"Safe"
"2. Coral Bleaching","Grunts",1.5,20117.1399599937,8371.97422265719,6697.57937812575,0.416161255491897,"Safe"
"2. Coral Bleaching","Snappers",1.5,7801.930054944,5640.04069113489,1974.01424189721,0.722903262579348,"Caution"
"2. Coral Bleaching","Groupers",1.5,7354.94918241369,5400.16859522365,1350.04214880591,0.73422242102446,"Caution"
"2. Coral Bleaching","Tunas",1.5,21086.7673507103,12115.7554435507,6057.87772177535,0.574566752790706,"Safe"
"2. Coral Bleaching","Mackerels",1.5,30751.5357197859,14733.7335425259,8840.24012551555,0.479121877904981,"Safe"
"2. Coral Bleaching","Dolphinfishes",1.5,8237.01849637121,3711.92614624204,2969.54091699363,0.450639530295739,"Safe"
"3. Effort Surge","Parrotfishes",0,43933.2485457939,25418.7628746936,27960.6391621629,0.578576902825618,"Safe"
"3. Effort Surge","Surgeonfishes",0,42641.0941768,17304.7703251514,20765.7243901817,0.405823787105503,"Safe"
"3. Effort Surge","Spiny Lobster",0,22110.196980563,23444.4802054237,21100.0321848813,1.06034696235559,"Overfished"
"3. Effort Surge","Queen Conch",0,67515.0657799334,70760.5711620524,56608.4569296419,1.04807083196361,"Overfished"
"3. Effort Surge","Triggerfishes",0,13848.2029659893,9215.19962991016,6450.63974093711,0.665443715155125,"Caution"
"3. Effort Surge","Grunts",0,23667.2234823455,12689.7704110936,10151.8163288749,0.536174867345952,"Safe"
"3. Effort Surge","Snappers",0,8865.82960789091,8547.46261003231,2991.61191351131,0.964090557574528,"Overfished"
"3. Effort Surge","Groupers",0,8969.45022245572,8313.33893345895,2078.33473336474,0.926850445375778,"Overfished"
"3. Effort Surge","Tunas",0,21738.9354131034,14772.308916118,7386.15445805902,0.679532306223875,"Caution"
"3. Effort Surge","Mackerels",0,31702.6141441091,21292.7293459223,12775.6376075534,0.671639545216458,"Caution"
"3. Effort Surge","Dolphinfishes",0,8491.77164574352,4722.94546630319,3778.35637304255,0.556179047592566,"Safe"
"4. Climate + Targeted Effort","Parrotfishes",1.2,36025.263807551,15737.4438952376,17311.1882847614,0.43684465377708,"Safe"
"4. Climate + Targeted Effort","Surgeonfishes",1.2,37524.162875584,11714.9701862248,14057.9642234698,0.31219804223394,"Safe"
"4. Climate + Targeted Effort","Spiny Lobster",1.2,16803.7497052279,18113.0240027512,16301.7216024761,1.07791560339155,"Overfished"
"4. Climate + Targeted Effort","Queen Conch",1.2,55362.3539395454,49061.9222930848,39249.5378344678,0.886196463876148,"Caution"
"4. Climate + Targeted Effort","Triggerfishes",1.2,13017.31078803,6466.85133202579,4526.79593241805,0.496788579248823,"Safe"
"4. Climate + Targeted Effort","Grunts",1.2,20827.156664464,7945.50281191794,6356.40224953436,0.381497241314501,"Safe"
"4. Climate + Targeted Effort","Snappers",1.2,8014.70996553339,7869.59856762352,2754.35949866823,0.981894366916094,"Overfished"
"4. Climate + Targeted Effort","Groupers",1.2,7677.84939042209,5871.59575095419,1467.89893773855,0.764744846164714,"Caution"
"4. Climate + Targeted Effort","Tunas",1.2,21217.2009631889,12203.4277331413,6101.71386657064,0.575166712815408,"Safe"
"4. Climate + Targeted Effort","Mackerels",1.2,30941.7514046505,16874.3048217723,10124.5828930634,0.54535713253892,"Safe"
"4. Climate + Targeted Effort","Dolphinfishes",1.2,8287.96912624567,4159.97163361586,3327.97730689269,0.501928949088673,"Safe"
"5. Managed Reduction","Parrotfishes",0.5,40638.2549048594,16276.2092406106,17903.8301646717,0.400514472846233,"Safe"
"5. Managed Reduction","Surgeonfishes",0.5,40509.03946796,10452.5626159217,12543.075139106,0.258030374286929,"Safe"
"5. Managed Reduction","Spiny Lobster",0.5,19899.1772825067,13638.6946626062,12274.8251963456,0.685389876625501,"Caution"
"5. Managed Reduction","Queen Conch",0.5,62451.4358464384,40770.7584602104,32616.6067681683,0.652839408856211,"Caution"
"5. Managed Reduction","Triggerfishes",0.5,13501.9978918396,5680.09648919182,3976.06754243427,0.420685629985528,"Safe"
"5. Managed Reduction","Grunts",0.5,22483.8623082282,7862.14695253619,6289.71756202895,0.349679554373492,"Safe"
"5. Managed Reduction","Snappers",0.5,8511.19642357528,5175.71983693303,1811.50194292656,0.608107201309176,"Caution"
"5. Managed Reduction","Groupers",0.5,8431.28320910837,5141.42453895413,1285.35613473853,0.609803325477173,"Caution"
"5. Managed Reduction","Tunas",0.5,21521.5460589724,10239.6867236097,5119.84336180487,0.475787691811333,"Safe"
"5. Managed Reduction","Mackerels",0.5,31385.5880026681,12900.3785038882,7740.22710233293,0.411028734041611,"Safe"
"5. Managed Reduction","Dolphinfishes",0.5,8406.85392928608,3138.79655688112,2511.0372455049,0.373361614616238,"Safe"
